"","hgm","WP","MP","PP","NP","Total"
"1","Total",1408,1176,17269,10053,29906
"2","Unchannelled valley-bottom",0,78,2338,1165,3581
"3","Seep",203,423,2404,1924,4954
"4","Floodplain",928,560,10250,1980,13718
"5","Depression",277,115,2277,4984,7653
