"","hgm","WP","MP","PP","NP"
"1","Unchannelled valley-bottom",0,0.022,0.653,0.325
"2","Seep",0.041,0.085,0.485,0.388
"3","Floodplain",0.068,0.041,0.747,0.144
"4","Depression",0.036,0.015,0.298,0.651
